Respondent ID,Age,Gender,Favorite Toy,Play Frequency,Play Context,Toy Discovery,Seasonal Interest,Digital vs. Physical,Character Connection,New Toy Interest,Play Duration,Play Space,Purchase Decision Factors,Purchase Channels,Budget Allocation (£/yr),Advertising Impact Channels,Developmental Benefits,Brand Perceptions,Sustainability Importance,Digital Balance,Long-Term Value,Trend Awareness Sources
R001,2,Female,LEGO Minecraft,Several times/week,Solo play,Store display,Year-round,Physical only,Paw Patrol,LOL Surprise,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"TV, Parent forums","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Instagram, Parent forums"
R002,2,Female,Fisher-Price Piano,Less often,Peer play,YouTube ad,Occasion-based,Mix of both,Elsa (Frozen),Fisher-Price Piano,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",350,"Parent forums, In-store displays","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Medium (3),"Teachers, Parent forums"
R003,2,Female,Cocomelon Set,Less often,Peer play,YouTube ad,Weather-dependent,Mix of both,Paw Patrol,LOL Surprise,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",250,"Social media, In-store displays","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Newsletters, Instagram"
R004,4,Male,Nintendo Switch,Daily,Peer play,Store display,Weather-dependent,Mix of both,Bluey,Nintendo Switch,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",100,"In-store displays, Social media","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Newsletters, YouTube"
R005,6,Female,Hot Wheels,Daily,Family play,Gift from friend,Year-round,Physical only,Peppa Pig,Cocomelon Set,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",350,"YouTube, In-store displays","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,Medium (3),"Teachers, Instagram"
R006,6,Female,Nintendo Switch,Several times/week,Solo play,Store display,Seasonal,Digital mostly,Bluey,Hot Wheels,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"Parent forums, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"YouTube, Instagram"
R007,9,Female,Cocomelon Set,Less often,Solo play,TV ad,Weather-dependent,Physical only,Spider-Man,Barbie Doll,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",350,"YouTube, Parent forums","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,High (5),"YouTube, Teachers"
R008,7,Female,Play-Doh,Weekly,Family play,TV ad,Weather-dependent,Digital mostly,Elsa (Frozen),Barbie Doll,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Argos",100,"YouTube, In-store displays","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Newsletters, Teachers"
R009,2,Male,Fisher-Price Piano,Weekly,Family play,Gift from friend,Occasion-based,Mix of both,Spider-Man,LEGO Minecraft,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",150,"TV, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Low (1),"Instagram, Teachers"
R010,7,Female,LEGO Minecraft,Weekly,Family play,Store display,Weather-dependent,Physical only,Minions,Play-Doh,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"In-store displays, TV","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Low (1),"Instagram, Parent forums"
R011,9,Male,Nintendo Switch,Less often,Peer play,Social media,Weather-dependent,Mix of both,Minions,Cocomelon Set,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",100,"In-store displays, YouTube","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"Instagram, Teachers"
R012,8,Male,LEGO Minecraft,Daily,Peer play,YouTube ad,Seasonal,Mix of both,Elsa (Frozen),Play-Doh,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Smyths",250,"Parent forums, YouTube","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Parent forums, Newsletters"
R013,9,Male,Nintendo Switch,Several times/week,Solo play,Gift from friend,Seasonal,Digital mostly,Peppa Pig,LOL Surprise,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",150,"In-store displays, Social media","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Parent forums, Newsletters"
R014,2,Female,Play-Doh,Daily,Peer play,Gift from friend,Weather-dependent,Digital mostly,Mario,LOL Surprise,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",150,"YouTube, TV","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Low (1),"Teachers, YouTube"
R015,3,Female,Fisher-Price Piano,Weekly,Family play,Store display,Occasion-based,Mix of both,Paw Patrol,Nintendo Switch,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",150,"In-store displays, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,High (5),"Instagram, Newsletters"
R016,2,Female,Play-Doh,Weekly,Mixed,Gift from friend,Occasion-based,Mix of both,Spider-Man,Cocomelon Set,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",300,"YouTube, TV","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Low (1),"YouTube, Newsletters"
R017,5,Male,Cocomelon Set,Weekly,Family play,Store display,Year-round,Mix of both,Elsa (Frozen),Fisher-Price Piano,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",300,"Social media, TV","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Parent forums, Instagram"
R018,8,Female,Cocomelon Set,Several times/week,Mixed,TV ad,Occasion-based,Mix of both,Paw Patrol,Nintendo Switch,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Tesco",350,"YouTube, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,High (5),"Instagram, YouTube"
R019,4,Female,Transformers,Several times/week,Peer play,TV ad,Occasion-based,Physical only,Peppa Pig,Fisher-Price Piano,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Argos",150,"YouTube, Social media","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Instagram, Newsletters"
R020,3,Female,Hot Wheels,Daily,Mixed,YouTube ad,Weather-dependent,Digital mostly,Mario,LEGO Minecraft,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",150,"TV, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"YouTube, Teachers"
R021,7,Male,Fisher-Price Piano,Weekly,Family play,YouTube ad,Year-round,Digital mostly,Mario,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",350,"In-store displays, Social media","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Teachers, YouTube"
R022,3,Female,Play-Doh,Less often,Mixed,Gift from friend,Year-round,Digital mostly,Paw Patrol,LEGO Minecraft,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",150,"In-store displays, YouTube","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Parent forums, Instagram"
R023,8,Female,Hot Wheels,Weekly,Solo play,Store display,Seasonal,Digital mostly,Paw Patrol,Nintendo Switch,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",100,"Parent forums, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Instagram, YouTube"
